humidity,device,timestamp
60,sensor_1,2024-05-19 21:10:42.325374
53,sensor_1,2024-05-19 23:43:44.936303
51,sensor_1,2024-05-19 23:53:49.361849
50,sensor_1,2024-05-20 00:03:53.197217
50,sensor_1,2024-05-20 00:13:56.469599
50,sensor_1,2024-05-20 00:23:59.675545
50,sensor_1,2024-05-20 00:34:03.033711
50,sensor_1,2024-05-20 00:44:06.570173
49,sensor_1,2024-05-20 00:54:10.666757
49,sensor_1,2024-05-20 01:04:14.504670
50,sensor_1,2024-05-20 06:46:14.640520
50,sensor_1,2024-05-20 10:27:13.369641
50,sensor_1,2024-05-20 10:37:15.640656
49,sensor_1,2024-05-20 10:47:17.875067
50,sensor_1,2024-05-20 10:57:20.096069
49,sensor_1,2024-05-20 11:07:22.849864
49,sensor_1,2024-05-20 11:17:25.366940
49,sensor_1,2024-05-20 11:27:28.149491
49,sensor_1,2024-05-20 11:37:32.010523
49,sensor_1,2024-05-20 11:47:35.587126
49,sensor_1,2024-05-20 11:57:39.558627
49,sensor_1,2024-05-20 12:07:43.475503
49,sensor_1,2024-05-20 12:17:47.409390
49,sensor_1,2024-05-20 12:27:51.443375
49,sensor_1,2024-05-20 12:37:55.621504
49,sensor_1,2024-05-20 12:47:59.750801
49,sensor_1,2024-05-20 12:58:04.086572
49,sensor_1,2024-05-20 13:08:09.051027
49,sensor_1,2024-05-20 13:18:08.801517
49,sensor_1,2024-05-20 13:28:13.244421
49,sensor_1,2024-05-20 13:38:17.785772
48,sensor_1,2024-05-20 13:48:22.302927
49,sensor_1,2024-05-20 13:58:26.729541
48,sensor_1,2024-05-20 14:08:30.525628
49,sensor_1,2024-05-20 14:18:34.902709
48,sensor_1,2024-05-20 14:28:39.438157
48,sensor_1,2024-05-20 14:38:42.972665
48,sensor_1,2024-05-20 14:48:46.230930
48,sensor_1,2024-05-20 14:58:49.707002
48,sensor_1,2024-05-20 15:08:54.247888
48,sensor_1,2024-05-20 15:18:58.784371
49,sensor_1,2024-05-20 15:29:02.086697
48,sensor_1,2024-05-20 15:39:05.339376
48,sensor_1,2024-05-20 15:49:08.645061
48,sensor_1,2024-05-20 15:59:10.579242
48,sensor_1,2024-05-20 16:09:13.112478
48,sensor_1,2024-05-20 16:19:16.365306
48,sensor_1,2024-05-20 16:29:19.189442
49,sensor_1,2024-05-20 16:39:21.557733
48,sensor_1,2024-05-20 16:49:23.995101
44,sensor_1,2024-05-20 16:59:26.723462
50,sensor_1,2024-05-20 18:06:04.987002
49,sensor_1,2024-05-20 18:16:07.773896
49,sensor_1,2024-05-20 18:26:10.560438
48,sensor_1,2024-05-20 18:36:13.309921
48,sensor_1,2024-05-20 18:46:16.072647
48,sensor_1,2024-05-20 18:56:18.829277
48,sensor_1,2024-05-20 19:06:21.592920
48,sensor_1,2024-05-20 19:16:24.236188
48,sensor_1,2024-05-20 19:26:26.860242
48,sensor_1,2024-05-20 19:36:29.467983
48,sensor_1,2024-05-20 19:56:34.920446
48,sensor_1,2024-05-20 20:06:37.694567
48,sensor_1,2024-05-20 20:16:40.310763
48,sensor_1,2024-05-20 20:26:42.925457
48,sensor_1,2024-05-20 20:36:47.075220
48,sensor_1,2024-05-20 20:46:55.044818
48,sensor_1,2024-05-20 20:56:53.106884
48,sensor_1,2024-05-20 21:06:56.084254
48,sensor_1,2024-05-20 21:16:59.079140
48,sensor_1,2024-05-20 21:27:02.081687
48,sensor_1,2024-05-20 21:37:05.047674
48,sensor_1,2024-05-20 21:47:08.005930
48,sensor_1,2024-05-20 21:57:11.036207
48,sensor_1,2024-05-20 22:07:14.035970
48,sensor_1,2024-05-20 22:17:20.143815
48,sensor_1,2024-05-20 22:27:19.247806
48,sensor_1,2024-05-20 22:37:22.086734
48,sensor_1,2024-05-20 22:47:28.056126
48,sensor_1,2024-05-20 22:57:26.177363
48,sensor_1,2024-05-20 23:07:29.107070
48,sensor_1,2024-05-20 23:17:32.183470
48,sensor_1,2024-05-20 23:27:34.990718
48,sensor_1,2024-05-20 23:37:38.207172
48,sensor_1,2024-05-20 23:47:41.213744
48,sensor_1,2024-05-20 23:57:46.230499
48,sensor_1,2024-05-21 00:07:46.245746
48,sensor_1,2024-05-21 00:17:45.475384
48,sensor_1,2024-05-21 00:27:51.245201
48,sensor_1,2024-05-21 00:37:50.659874
48,sensor_1,2024-05-21 00:47:54.942068
48,sensor_1,2024-05-21 00:57:59.268637
48,sensor_1,2024-05-21 01:08:03.609741
48,sensor_1,2024-05-21 01:18:07.874657
48,sensor_1,2024-05-21 01:28:12.031100
48,sensor_1,2024-05-21 01:38:16.197686
48,sensor_1,2024-05-21 01:48:20.396815
48,sensor_1,2024-05-21 01:58:24.550603
48,sensor_1,2024-05-21 02:08:28.712189
48,sensor_1,2024-05-21 02:18:32.864038
48,sensor_1,2024-05-21 02:28:36.998279
48,sensor_1,2024-05-21 02:38:41.178193
48,sensor_1,2024-05-21 02:48:47.359076
48,sensor_1,2024-05-21 02:58:46.639680
